VDS_V,ID_L1um_uA,ID_L2um_uA,ID_L5um_uA,ID_L10um_uA,ID_L20um_uA
0.6,154.6158777,162.924149,167.9381978,169.7399019,170.6619047
0.61,154.7248472,163.0001422,167.9894641,169.7816466,170.6981585
0.62,154.829092,163.0724465,168.0378616,169.8208126,170.7319671
0.63,154.9289744,163.1413831,168.0836759,169.8576724,170.7635966
0.64,155.024819,163.2072365,168.1271572,169.8924637,170.7932788
0.65,155.1169174,163.27026,168.1685257,169.9253947,170.821216
0.66,155.2055327,163.330679,168.2079754,169.9566482,170.8475858
0.67,155.2909026,163.3886954,168.2456783,169.9863852,170.8725439
0.68,155.3732427,163.4444901,168.2817867,170.0147479,170.8962276
0.69,155.452749,163.498226,168.3164363,170.0418621,170.9187581
0.7,155.5296001,163.55005,168.3497482,170.0678396,170.9402428
0.71,155.6039591,163.600095,168.3818307,170.0927798,170.9607769
0.72,155.6759755,163.6484813,168.4127808,170.1167716,170.9804453
0.73,155.7457864,163.6953186,168.4426859,170.1398942,170.9993237
0.74,155.8135181,163.7407066,168.4716248,170.162219,171.0174798
0.75,155.8792866,163.7847363,168.4996684,170.1838097,171.034974
0.76,155.9431993,163.8274912,168.5268813,170.2047241,171.051861
0.77,156.0053556,163.8690478,168.5533217,170.2250141,171.0681896
0.78,156.0658475,163.9094762,168.5790429,170.2447268,171.0840041
0.79,156.1247604,163.9488411,168.6040931,170.2639046,171.0993444
0.8,156.1821737,163.9872023,168.6285166,170.2825863,171.1142465
0.81,156.2381614,164.0246147,168.6523537,170.300807,171.1287432
0.82,156.2927925,164.0611296,168.6756414,170.3185988,171.1428644
0.83,156.3461314,164.096794,168.6984137,170.335991,171.156637
0.84,156.3982383,164.1316521,168.7207018,170.3530102,171.1700859
0.85,156.4491696,164.1657445,168.7425344,170.3696809,171.1832334
0.86,156.4989784,164.1991093,168.7639381,170.3860257,171.1961002
0.87,156.5477141,164.231782,168.7849375,170.4020651,171.2087052
0.88,156.5954236,164.2637958,168.805555,170.4178182,171.2210658
0.89,156.6421507,164.2951815,168.8258118,170.4333023,171.2331977
0.9,156.6879367,164.3259681,168.8457272,170.4485338,171.2451156
0.91,156.7328207,164.3561829,168.8653195,170.4635274,171.2568331
0.92,156.7768394,164.3858513,168.8846054,170.4782969,171.2683624
0.93,156.8200276,164.4149974,168.9036006,170.4928552,171.2797151
0.94,156.8624183,164.4436436,168.9223197,170.5072141,171.2909018
0.95,156.9040425,164.4718111,168.9407764,170.5213845,171.3019323
0.96,156.9449296,164.49952,168.9589834,170.5353768,171.3128157
0.97,156.9851077,164.5267891,168.9769527,170.5492005,171.3235604
